POPULATION;NOIND;periode_reference;repasenfantmidi_vous;repasenfantmidi_am;repasenfantmidi_creche;repasenfantmidi_parent;repasenfantmidi_autre;repasenfantmidi_autre_libelle;repasenfant_freq;conso_bebe_sein;lait_plussouvent;lait_plusvt_li_autr_anim_libelle;lait_plusvt_pi_autre_veg_libelle;lait_plusvt_boisson_veg_libelle;lait_plusvt_autre_anim_libelle;lait_plusvt_autre_libelle;lait_occ_laitmaternel;lait_occ_lait_1e_age;lait_occ_lait_2e_age;lait_occ_lait_croissance;lait_occ_li_autre_anim;lait_occ_li_autre_anim_libelle;lait_occ_li1e_age_protsoja;lait_occ_li2e_age_protsoja;lait_occ_soja_croissance;lait_occ_li1e_age_protriz;lait_occ_li2e_age_protriz;lait_occ_riz_croissance;lait_occ_pi_autre_veg;lait_occ_pi_autre_veg_libelle;lait_occ_boisson_lait_bebe;lait_occ_lait_regime_infantile;lait_occ_lait_vache;lait_occ_boisson_soja;lait_occ_boisson_veg;lait_occ_boisson_veg_libelle;lait_occ_autre_anim;lait_occ_autre_anim_libelle;lait_occ_autre;lait_occ_autre_libelle;lait_occ_aucun;lait_occ_nsp;etablissement_scolaire;lieu_repas_midi;lieu_repas_midi_autre_libelle;cantine_freq;cantine_jms_persfoyer;cantine_jms_veutpas;cantine_jms_probsante;cantine_jms_repaspasequilibre;cantine_jms_repaspasqualite;cantine_jms_repaschers;cantine_jms_ecoleproche;cantine_jms_paspropose;cantine_jms_pasaime;cantine_jms_autre_raison;cantine_jms_autre_raison_libelle;cantine_jms_nsp;collation_freq;collation_aliment1;collation_aliment2;collation_aliment3;collation_aliment4;collation_matin_freq;collation_matin_ecole_freq;collation_matin_pasecole_freq;collation_matin_aliment1;collation_matin_aliment2;collation_matin_aliment3;collation_matin_aliment4;distributeur_freq;distributeur_biscuits_sales;distributeur_biscuits_sucres;distributeur_barres_choco;distributeur_confiseries;distributeur_fruits_frais;distributeur_jus_de_fruits;distributeur_boissons_energ;distributeur_sodas;distributeur_eaux;distributeur_autre;distributeur_autre_libelle;distributeur_nsp;restaurationrapide_freq;aime_legumes;aime_viande;aime_fruits;aime_glaces;aime_fromage;aime_poisson;aime_soda;aime_lait;aime_yaourts;aime_jus_de_fruits;table_beurre;table_creme_fraiche;table_huile_olive;table_vinaigrette;table_mayonnaise;table_ketchup;table_sauce_soja;table_sel;etiquette_freq;etiquette_ingredients;etiquette_contenu_nutri;etiquette_portions;etiquette_message_nutri;etiquette_effets_benefiques;source_medecins;source_personnels_pharma;source_publicite;source_emissions_info;source_journaux;source_livres;source_professeurs;source_famille;source_amis;source_internet;source_emballages;source_autre;source_autre_libelle;conso_lardons_crus;conso_saucisses_crues;conso_viande_boeuf_crue;conso_viande_cheval_crue;conso_viande_porc_crue;conso_viande_volaille_crue;conso_poisson_cru;conso_mollusques_crus;conso_oeufs_crus;conso_croute_fleurie;conso_croute_lavee;conso_pate_pressee_non_cuite;conso_pate_pressee_cuite;conso_pate_persillee;pomme_crue_lave;pomme_crue_essuie;pomme_crue_epluche;pomme_crue_rien;pomme_crue_mange_pas;peche_crue_lave;peche_crue_essuie;peche_crue_epluche;peche_crue_rien;peche_crue_mange_pas;raisin_cru_lave;raisin_cru_essuie;raisin_cru_epluche;raisin_cru_rien;raisin_cru_mange_pas;fraise_crue_lave;fraise_crue_essuie;fraise_crue_epluche;fraise_crue_rien;fraise_crue_mange_pas;tomate_crue_lave;tomate_crue_essuie;tomate_crue_epluche;tomate_crue_rien;tomate_crue_mange_pas;champignon_cru_lave;champignon_cru_essuie;champignon_cru_epluche;champignon_cru_rien;champignon_cru_mange_pas;salade_crue_lave;salade_crue_essuie;salade_crue_epluche;salade_crue_rien;salade_crue_mange_pas;concombre_cru_lave;concombre_cru_essuie;concombre_cru_epluche;concombre_cru_rien;concombre_cru_mange_pas;utilisation_bib;bib_plastique;bib_verre;bib_nsp;sterilisation_bib;sterilisation_bib_libelle;tetine_caoutchouc;tetine_silicone;tetine_nsp;sterilisation_tetine;sterilisation_tetine_libelle;bib_lm;bib_li;bib_lc;bib_bl;bib_ppl;bib_eau;bib_jus;bib_autre;bib_autre_libelle;stockage_bib_lm;delai_conso_bib_lm;prepa_bib_li;conserv_eau;conserv_eau_libelle;reste_eau;conso_apres_prepa_bib_li;tps_conserv_bib_li;lieu_conserv_bib_li;lieu_conserv_bib_li_libelle;tps_conso_bib_li;chauffe_lm;chauffe_pi;chauffe_lc;chauffe_bl;bib_micro_ondes;bib_chauffe_bib;bib_bainmarie;diversification_alim_bebe;prepbb;prepbb_chauff;prepbb_chauff_coupplastique;prepbb_chauff_potverre;prepbb_chauff_recipopaque;prepbb_chauff_reciptranslucid;prepbb_chauff_recipceramique;prepbb_chauff_recipverre;prepbb_chauff_autre;prepbb_chauff_autre_libelle;conso_farine_ssgluten;conso_farine_ssgluten_age;conso_farine_ssgluten_age_nsp;conso_farine_acgluten;conso_farine_acgluten_age;conso_farine_acgluten_age_nsp;conso_cereales;conso_cereales_age;conso_cereales_age_nsp;conso_legumes_horspdt;conso_legumes_horspdt_age;conso_legumes_horspdt_age_nsp;conso_pdt;conso_pdt_age;conso_pdt_age_nsp;conso_riz_pates;conso_riz_pates_age;conso_riz_pates_age_nsp;conso_fruits;conso_fruits_age;conso_fruits_age_nsp;conso_yaourts;conso_yaourts_age;conso_yaourts_age_nsp;conso_autres_desserts;conso_autres_desserts_age;conso_autres_desserts_age_nsp;conso_fromage;conso_fromage_age;conso_fromage_age_nsp;conso_viande;conso_viande_age;conso_viande_age_nsp;conso_poisson;conso_poisson_age;conso_poisson_age_nsp;conso_jambon;conso_jambon_age;conso_jambon_age_nsp;conso_oeufs;conso_oeufs_age;conso_oeufs_age_nsp;conso_gateaux;conso_gateaux_age;conso_gateaux_age_nsp;conso_pain;conso_pain_age;conso_pain_age_nsp;conso_jus;conso_jus_age;conso_jus_age_nsp;conso_autres;conso_autres_age;conso_autres_age_nsp;conso_autres_libelle;conso_nsp;conso_plats_faits_maison;jardin;jardin_potager;jardin_arbres_fruitiers;jardin_poulailler;jardin_clapier;jardin_fleurs;jardin_rien;jardin_entretien;autoproduction_aliments;autoproduction_oeufs_freq;autoproduction_volailles_freq;autoproduction_volailles_libelle;autoproduction_lapins_freq;autoproduction_viandes_freq;autoproduction_viandes_libelle;autoproduction_lait_freq;autoproduction_pdt_freq;autoproduction_tomates_freq;autoproduction_tomates_libelle;autoproduction_carottes_freq;autoproduction_carottes_libelle;autoproduction_salades_freq;autoproduction_salades_libelle;autoproduction_abricots_freq;autoproduction_abricots_libelle;autoproduction_pommes_freq;autoproduction_pommes_libelle;autoproduction_fraises_freq;autoproduction_fraises_libelle;autoproduction_raisins_freq;autoproduction_autresfruits_freq;autoproduction_autrfruit_libelle;autoproduction_autreslegum_freq;autoproduction_autrlegum_libelle;cueillette_fruits_freq;cueillette_champignons_freq;peche_poissons_eau_douce_freq;peche_poissons_eau_mer_freq;peche_coquillages_freq;chasse_gibiers_freq;autoconsommation;autoconsommation_type;autoproduction;cueillette;autoconso_oeufs;autoconso_oeufs_type;autoconso_viandes;autoconso_viandes_type;autoconso_volailles_tot;autoconso_volailles_tot_type;autoconso_lait;autoconso_lait_type;autoconso_pdt;autoconso_pdt_type;autoconso_legumes_tot;autoconso_legumes_tot_type;autoconso_fruits_tot;autoconso_fruits_tot_type;autoconso_pdts_mer;autoconso_pdts_mer_type;conso_aliments_bio;conso_lait_bio_freq;conso_oeufs_bio_freq;conso_volailles_bio_freq;conso_viandes_bio_freq;conso_poissons_bio_freq;conso_fruits_bio_freq;conso_fruits_bio_libelle;conso_pdt_bio_freq;conso_legumes_bio_freq;conso_legumes_bio_libelle;conso_legumes_secs_bio_freq;conso_legumes_secs_bio_libelle;conso_pain_bio_freq;conso_cereales_bio_freq;conso_cereales_bio_libelle;conso_autres_alim_bio_freq;conso_autres_alim_bio_libelle;conso_lait_bebe_bio_freq;conso_yaourt_bebe_bio_freq;conso_jus_bebe_bio_freq;conso_puree_bebe_bio_freq;conso_cereales_bebe_bio_freq;conso_biscuits_bebe_bio_freq;conso_plats_bebe_bio_freq;conso_compotes_bebe_bio_freq;conso_cremes_bebe_bio_freq;consommation_bio;consommation_bio_type;conso_oeufs_bio_tjr_svt;conso_lait_bio_tjr_svt;conso_volailles_bio_tjr_svt;conso_viandes_bio_tjr_svt;conso_poissons_bio_tjr_svt;conso_fruits_bio_tjr_svt;conso_pdt_bio_tjr_svt;conso_legumes_bio_tjr_svt;conso_legumes_secs_bio_tjr_svt;conso_cereales_bio_tjr_svt;conso_pain_bio_tjr_svt;conso_autres_alim_bio_tjr_svt;conso_barbecue;conso_barbecue_elec;conso_barbecue_bois;conso_barbecue_gaz;conso_barbecue_printps_ete_freq;conso_barbecue_automn_hiver_freq
Pop2 Individu;512106501;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;8;;;;;;;;;;;;;2;PAIN;;;;;;;;;;;6;;;;;;;;;;;;;7;;;;;;;;;;;1;0;0;0;0;0;0;1;3;3;3;2;2;2;2;2;2;1;1;1;2;1;1;2;;2;;4;4;4;4;4;4;4;3;1;1;1;2;1;1;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0;0;0;0;1;1;4;3;CANARD, POULET;1;1;;1;3;1;;2;LEGUMES RACINE N.S.;5;LEGUMES FEUILLE N.S.;1;;1;;1;;1;;;;;1;2;1;1;1;3;1;2;1;1;1;2;0;0;1;1;0;0;1;1;1;2;0;0;0;0;1;2;1;2;3;3;1;POIRE, POMME;1;1;CAROTTE;4;;2;4;;4;;;;;;;;;;;1;2;1;1;1;0;0;1;1;1;0;0;1;0;1;0;1;0;2;1
Pop2 Individu;512200401;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;6;;;;;;;;;;;;;3;BISCUIT, CAFE;;;;;;;;;;;6;;;;;;;;;;;;;6;;;;;;;;;;;1;0;0;0;0;0;0;1;3;2;3;3;1;3;2;2;2;2;2;2;2;1;1;2;;2;;4;5;4;5;4;4;3;3;4;1;2;2;2;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;1;0;1;0;1;1;5;3;PINTADE, POULET;1;3;MOUTON;1;3;5;AUBERGINE, COURGETTE, MELON, POIVRON, POTIRON, TOMATE;4;CAROTTE, CELERI RAVE, NAVET;1;;1;;1;;1;;2;;;;;1;2;1;1;2;2;1;2;1;1;1;2;1;1;1;1;0;0;1;1;1;2;0;0;0;0;1;3;2;2;2;4;4;;4;4;;4;;4;4;;4;;;;;;;;;;;1;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;2;1
Pop2 Individu;512200601;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;8;;;;;;;;;;;;;1;PAIN;PAIN DE MIE;BISCUIT;VIENNOISERIE;;;;;;;;6;;;;;;;;;;;;;6;;;;;;;;;;;1;0;0;1;1;1;0;0;1;2;1;1;1;1;1;1;1;1;1;2;2;1;1;1;;2;;4;2;4;4;4;3;4;4;1;1;2;1;2;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0;0;0;0;2;1;5;3;DINDE, POULET;1;4;AGNEAU, BOEUF, PORC;1;4;4;COURGETTE, POTIRON;4;CAROTTE;4;HARICOT BEURRE, HARICOT VERT, SALADE;1;;1;;1;;1;;;;;1;2;2;2;1;1;1;2;1;1;1;2;1;2;1;1;0;0;1;2;1;2;0;0;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;5;2
Pop2 Individu;512201101;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;6;;;;;;;;;;;;;6;;;;;;;;;;;;6;;;;;;;;;;;;;7;;;;;;;;;;;1;0;0;0;0;0;0;0;4;;;;;;2;2;2;2;2;2;2;2;2;1;;2;;4;4;4;4;4;4;4;4;1;1;2;2;2;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;0;0;0;0;2;1;1;1;;1;1;;1;2;4;CONCOMBRE, COURGETTE, POTIRON, TOMATE;1;;4;SALADE;1;;4;POIRE, POMME;1;;1;;;;;4;1;1;1;1;1;1;2;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;2;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;
Pop2 Individu;512201301;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;6;;;;;;;;;;;;6;;;;;;;;;;;;;7;;;;;;;;;;;0;0;0;1;0;0;0;1;2;2;2;3;2;2;1;2;2;2;1;2;2;2;2;2;;2;;4;4;4;4;4;4;4;1;3;2;2;2;2;2;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;1;0;0;1;0;2;1;1;1;;1;1;;1;1;1;;1;;1;;2;CERISE;2;POIRE;1;;1;;;;;2;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;3;3;4;4;4;3;;3;3;;3;;3;3;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;0;1;0;3;2
Pop2 Individu;512201901;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;6;;;;;;;;;;;;;2;CHOCOLAT;PAIN;;;;;;;;;;6;;;;;;;;;;;;;6;;;;;;;;;;;1;0;0;1;0;0;0;1;2;2;4;4;4;4;1;2;2;1;1;2;2;2;2;2;;2;;5;5;5;5;5;5;5;5;3;1;2;2;2;2;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;1;0;0;1;1;0;0;0;1;1;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;0;0;1;0;2;1;1;1;;1;1;;1;4;4;CONCOMBRE, COURGE POTIMARRON, COURGETTE, MELON, POIVRON, TOMATE;2;RADIS;4;EPINARD, SALADE;2;CERISE;2;POIRE, POMME;2;FRAISE, FRAMBOISE;2;;;;;2;1;1;1;1;1;1;2;1;0;0;0;0;0;0;0;0;0;1;2;1;1;1;1;0;0;1;4;4;5;5;5;4;;4;4;;4;;3;3;PATE;1;STEAK DE SOJA, TOFU;;;;;;;;;;1;1;0;0;0;0;0;0;0;0;0;0;0;1;2;;;;;
Pop2 Individu;512202601;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;8;;;;;;;;;;;;;5;POMME;;;;;;;;;;;1;0;0;0;0;1;0;0;1;0;0;;;7;;;;;;;;;;;0;0;0;1;0;0;0;0;2;1;2;3;3;3;1;1;2;1;2;2;2;2;2;2;;2;;1;4;4;4;4;4;3;3;4;1;2;2;2;2;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;1;0;0;0;;1;4;1;;1;1;;1;1;1;;1;;1;;3;PECHE, PRUNE;1;;1;;1;;;;;3;1;1;1;1;1;1;2;1;1;1;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;3;3
Pop2 Individu;512400101;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;8;;;;;;;;;;;;;3;POMME;ORANGE;CHOCOLAT NOIR;;;;;;;;;6;;;;;;;;;;;;;7;;;;;;;;;;;0;0;0;0;0;0;0;0;3;2;4;2;2;2;2;2;2;1;1;1;2;1;1;1;;2;;4;3;4;5;4;4;4;4;3;1;1;2;2;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;1;0;0;1;0;2;1;2;1;;1;1;;1;1;2;POTIRON, TOMATE;4;RADIS;2;HARICOT VERT, SALADE;3;PRUNE;1;;1;;1;;;;;2;2;1;1;1;2;1;2;1;1;0;0;0;0;0;0;0;0;0;0;1;2;1;1;0;0;1;3;1;2;4;4;3;CERISE, KIWI, ORANGE, PRUNE;3;3;BETTERAVE, COURGETTE, HARICOT VERT;2;LENTILLE;4;4;;4;;;;;;;;;;;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;2;1
Pop2 Individu;512400601;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;8;;;;;;;;;;;;;;CHOCOLAT;BISCUIT;;;;;;;;;;6;;;;;;;;;;;;;4;;;;;;;;;;;1;1;1;1;;;;1;3;4;4;;2;1;1;2;2;1;1;2;2;1;2;1;;2;;4;4;3;4;4;4;4;1;1;2;2;2;2;;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;0;0;1;0;1;1;4;8;CANARD;1;1;;1;2;4;;1;;1;;4;;4;;3;;1;;;;;4;1;1;1;1;1;1;2;1;1;1;2;0;0;0;0;0;0;0;0;1;1;1;2;0;0;1;;1;2;2;2;4;;;6;SALADE;2;HARICOT N.S.;2;2;;6;;;;;;;;;;;1;2;1;;1;1;1;0;;;1;1;1;;1;0;1;1;4;2
Pop2 Individu;512400801;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;6;;;;;;;;;;;;;3;BISCUIT SALE;;;;;;;;;;;5;0;0;0;0;0;0;0;1;0;0;;;5;;;;;;;;;;;0;0;0;1;0;1;0;1;1;4;4;1;2;2;2;2;1;1;1;3;1;1;1;1;;2;;4;4;3;5;4;4;4;3;2;1;3;2;2;3;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0;0;0;1;;1;4;2;POULE;2;1;;1;2;5;TOMATE;4;CAROTTE;4;SALADE;1;;1;;4;FRAISE;1;;;;;3;2;1;1;1;1;1;2;1;1;1;2;0;0;1;1;0;0;0;0;1;2;1;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;4;2
Pop2 Individu;512401201;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;6;;;;;;;;;;;;;4;BISCUIT;BISCUIT SALE;;;;;;;;;;6;;;;;;;;;;;;;5;;;;;;;;;;;1;0;0;1;1;1;1;1;3;4;4;2;2;4;2;2;1;1;1;2;2;1;1;1;;3;;4;4;4;5;4;4;3;4;3;1;3;2;2;3;1;1;1;0;0;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;0;0;1;0;1;1;3;1;;1;1;;1;1;5;COURGETTE, POTIRON, TOMATE;2;BETTERAVE;2;HARICOT VERT, SALADE;4;PECHE, PRUNE;8;POMME;4;FRAISE, FRAMBOISE;1;;;;;3;2;2;1;1;2;1;2;1;1;1;1;0;0;0;0;0;0;0;0;1;2;1;2;0;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;5;2
Pop2 Individu;512401301;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;6;;;;;;;;;;;;;6;;;;;;;;;;;;6;;;;;;;;;;;;;7;;;;;;;;;;;0;0;0;0;0;0;0;1;2;1;2;4;3;3;2;2;2;1;1;1;2;2;2;2;;2;;4;5;5;5;5;5;5;5;3;2;2;2;2;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;1;4;1;;1;1;;1;2;1;;1;;1;;1;;1;;1;;1;;;;;1;2;1;1;1;1;1;2;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;1
Pop2 Individu;512401701;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;8;;;;;;;;;;;;;3;CHOCOLAT;GATEAU;;;;;;;;;;6;;;;;;;;;;;;;7;;;;;;;;;;;0;0;0;1;0;1;0;1;2;2;2;4;4;2;2;2;2;1;1;1;2;1;2;2;;2;;5;3;4;4;4;4;4;3;4;1;2;1;1;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;0;0;1;0;2;1;2;2;POULET;1;3;PORC;1;1;6;COURGETTE, POTIRON, TOMATE;6;BETTERAVE, CAROTTE, RADIS;5;EPINARD, HARICOT VERT, SALADE;5;CERISE, PECHE;1;;5;FRAMBOISE;3;;;;;3;2;1;1;1;2;1;2;1;1;0;0;1;1;1;1;0;0;0;0;1;2;1;2;0;0;1;4;3;3;3;4;3;CITRON, ORANGE;4;4;;3;LENTILLE;3;3;QUINOA;3;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;1;0;1;4;4
Pop2 Individu;512402401;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;3;FRUIT;BONBON;GLACE;CHOCOLAT;;;;;;;;6;;;;;;;;;;;;;5;;;;;;;;;;;0;0;0;0;1;1;0;1;3;2;2;2;2;2;1;1;1;1;1;1;2;1;1;1;;2;;4;4;4;4;4;4;4;5;3;1;2;1;1;1;1;1;1;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;1;0;0;1;1;0;0;0;1;1;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0;0;1;0;;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;3;3;3;3;CLEMENTINE;3;3;MAIS, TOMATE;5;;3;3;PATE;6;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;0;1;0;2;1
Pop2 Individu;512502001;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;4;;;;;;;;;;;;;3;GATEAU;;;;;;;;;;;2;0;0;0;0;0;1;0;1;0;0;;;4;;;;;;;;;;;0;0;0;0;1;1;0;0;3;4;4;4;4;4;2;2;1;1;2;2;2;2;1;2;;2;;4;4;4;4;4;3;4;4;2;2;2;2;2;2;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;4;1
